customer_id,name,email,country,signup_date
357c1e39-61b9-4e44-8fb1-3242f4290fac,Jessica Logan,daniellelynn@example.org,Lao People's Democratic Republic,2021-04-04
5302b76b-344b-44e9-92a4-7e36554a35f1,Joseph Lambert,vstone@example.com,Argentina,2023-04-03
77e0f1cb-b783-49d4-b46a-177c920bfae6,Jacob Johnson,dennishuffman@example.org,Guyana,2023-10-13
51affcf6-e900-4813-8934-f04194f860ea,Jonathan Smith PhD,mariamyers@example.org,Armenia,2023-11-29
cb1c5099-0c62-4bae-8d0a-91979a056c79,Francisco Adams,linda98@example.com,Isle of Man,2022-04-11
c1714112-c446-44f1-991e-42d827cd08a4,Courtney Sherman,dylan81@example.net,Mozambique,2022-10-29
f418f787-0d06-442f-ba6d-fc4dc7db673a,Jacqueline Mooney,edwardssamantha@example.org,Martinique,2023-09-27
c6eda7d7-8368-45f4-965d-6b53d598f8a2,Austin Diaz,nicolekelley@example.net,Sweden,2020-01-31
0dea93d8-fab6-458c-805c-2e875f6430ca,Tara Carson,jason45@example.org,Saint Pierre and Miquelon,2022-07-20
3eda08bf-f87a-4294-869d-1218e8b46769,Brittney Walters,brittany59@example.org,Tajikistan,2025-03-13
6aeebf10-0025-4c89-9fcb-aab1b06f702f,Michael Hendrix,kristenstevens@example.com,Uruguay,2024-01-01
9c8b332c-f3fb-4f32-be6d-f5cf32591c51,Brandon Larson,oross@example.org,Cook Islands,2022-12-27
06d67c06-93ea-49b8-a1cf-7369ff698e97,Daniel Williams,davidschneider@example.org,Greece,2025-03-26
8bdd918c-c113-4c9e-9729-1f53fcf66375,Charlotte Dean,lauren24@example.net,Singapore,2024-06-21
cc7f557f-5d0f-4baa-ba6a-c0dbcd8a7944,Jenny Howell,fisheremily@example.com,Bhutan,2021-09-04
b404d7e7-89fe-4675-a5c8-e18e80e74618,Courtney Thomas,fwhite@example.org,Serbia,2023-04-15
57f6e9f8-b193-4222-a9cf-b50f5aed11a4,Nicolas Cooper,martinlaura@example.net,Montserrat,2020-10-31
a08f7b3c-45ba-42d7-a6e3-61b2237dbefd,Michael Luna,allensteven@example.com,Liberia,2024-07-16
691a08e4-2e97-4198-afa4-8a267e64a87c,Austin Williams,caseyconnie@example.net,Italy,2025-04-16
55ea0c6e-6925-4516-946d-4baee6d078cc,Cindy Garza,mark47@example.org,French Southern Territories,2022-08-11
009e42e7-ecf0-43e5-ba35-05bc6261009d,Vanessa Navarro,lmcgrath@example.com,Uganda,2023-12-19
2209038d-dddf-45cb-bc15-9276c15ba68d,Craig Hunter,jenniferwells@example.org,Mauritania,2021-02-23
86b03e8b-4c47-468f-bdb2-60d86bd94168,Mark Mendoza,mcdonaldkathryn@example.com,Aruba,2020-12-13
4b9ec259-5ac8-44c8-a283-d802a83079a0,Alan Horton,toddbrett@example.com,Burkina Faso,2020-01-16
4948ffd2-bbef-4317-a1b4-1c469cbd69ba,Kenneth Ramirez,catherine24@example.net,Mauritius,2021-03-03
5642da3d-2b99-4952-8d7a-9e1cf36bc7d6,Mindy Wells,jennifer23@example.org,Costa Rica,2021-03-14
435cb05e-cf2f-422c-8cd1-c6b1d0cdee8b,Rachel Martin,jroberts@example.net,Seychelles,2024-04-28
5bcc6179-2f1a-44ba-a8eb-81ac4ba373fc,Andrew Castro,brian88@example.com,Switzerland,2020-11-17
8f8df937-51c4-4a6d-8039-d8826de93046,Robert Rush,cherylharper@example.org,United States Virgin Islands,2025-02-22
3257cc71-a166-4e30-8e95-f76631163616,Beth Avery MD,uwoods@example.org,Montenegro,2022-06-21
b012d627-14e5-41ec-ac66-a25f1914956f,Tina Nguyen,paulhowell@example.net,Slovenia,2022-12-23
