customer_id,name,email,country,signup_date,processed_timestamp,signup_year,signup_month,signup_day,email_domain,data_source
357c1e39-61b9-4e44-8fb1-3242f4290fac,Jessica Logan,daniellelynn@example.org,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2021-04-04T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,4,4,example.org,batch_csv
5302b76b-344b-44e9-92a4-7e36554a35f1,Joseph Lambert,vstone@example.com,ARGENTINA,2023-04-03T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,4,3,example.com,batch_csv
77e0f1cb-b783-49d4-b46a-177c920bfae6,Jacob Johnson,dennishuffman@example.org,GUYANA,2023-10-13T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,10,13,example.org,batch_csv
51affcf6-e900-4813-8934-f04194f860ea,Jonathan Smith PhD,mariamyers@example.org,ARMENIA,2023-11-29T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,11,29,example.org,batch_csv
cb1c5099-0c62-4bae-8d0a-91979a056c79,Francisco Adams,linda98@example.com,ISLE OF MAN,2022-04-11T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,4,11,example.com,batch_csv
c1714112-c446-44f1-991e-42d827cd08a4,Courtney Sherman,dylan81@example.net,MOZAMBIQUE,2022-10-29T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,10,29,example.net,batch_csv
f418f787-0d06-442f-ba6d-fc4dc7db673a,Jacqueline Mooney,edwardssamantha@example.org,MARTINIQUE,2023-09-27T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,9,27,example.org,batch_csv
c6eda7d7-8368-45f4-965d-6b53d598f8a2,Austin Diaz,nicolekelley@example.net,SWEDEN,2020-01-31T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,1,31,example.net,batch_csv
0dea93d8-fab6-458c-805c-2e875f6430ca,Tara Carson,jason45@example.org,SAINT PIERRE AND MIQUELON,2022-07-20T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,7,20,example.org,batch_csv
3eda08bf-f87a-4294-869d-1218e8b46769,Brittney Walters,brittany59@example.org,TAJIKISTAN,2025-03-13T00:00:00.000Z,2025-06-15T06:57:54.771Z,2025,3,13,example.org,batch_csv
6aeebf10-0025-4c89-9fcb-aab1b06f702f,Michael Hendrix,kristenstevens@example.com,URUGUAY,2024-01-01T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,1,1,example.com,batch_csv
9c8b332c-f3fb-4f32-be6d-f5cf32591c51,Brandon Larson,oross@example.org,COOK ISLANDS,2022-12-27T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,12,27,example.org,batch_csv
06d67c06-93ea-49b8-a1cf-7369ff698e97,Daniel Williams,davidschneider@example.org,GREECE,2025-03-26T00:00:00.000Z,2025-06-15T06:57:54.771Z,2025,3,26,example.org,batch_csv
8bdd918c-c113-4c9e-9729-1f53fcf66375,Charlotte Dean,lauren24@example.net,SINGAPORE,2024-06-21T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,6,21,example.net,batch_csv
cc7f557f-5d0f-4baa-ba6a-c0dbcd8a7944,Jenny Howell,fisheremily@example.com,BHUTAN,2021-09-04T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,9,4,example.com,batch_csv
b404d7e7-89fe-4675-a5c8-e18e80e74618,Courtney Thomas,fwhite@example.org,SERBIA,2023-04-15T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,4,15,example.org,batch_csv
57f6e9f8-b193-4222-a9cf-b50f5aed11a4,Nicolas Cooper,martinlaura@example.net,MONTSERRAT,2020-10-31T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,10,31,example.net,batch_csv
a08f7b3c-45ba-42d7-a6e3-61b2237dbefd,Michael Luna,allensteven@example.com,LIBERIA,2024-07-16T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,7,16,example.com,batch_csv
691a08e4-2e97-4198-afa4-8a267e64a87c,Austin Williams,caseyconnie@example.net,ITALY,2025-04-16T00:00:00.000Z,2025-06-15T06:57:54.771Z,2025,4,16,example.net,batch_csv
55ea0c6e-6925-4516-946d-4baee6d078cc,Cindy Garza,mark47@example.org,FRENCH SOUTHERN TERRITORIES,2022-08-11T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,8,11,example.org,batch_csv
009e42e7-ecf0-43e5-ba35-05bc6261009d,Vanessa Navarro,lmcgrath@example.com,UGANDA,2023-12-19T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,12,19,example.com,batch_csv
2209038d-dddf-45cb-bc15-9276c15ba68d,Craig Hunter,jenniferwells@example.org,MAURITANIA,2021-02-23T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,2,23,example.org,batch_csv
86b03e8b-4c47-468f-bdb2-60d86bd94168,Mark Mendoza,mcdonaldkathryn@example.com,ARUBA,2020-12-13T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,12,13,example.com,batch_csv
4b9ec259-5ac8-44c8-a283-d802a83079a0,Alan Horton,toddbrett@example.com,BURKINA FASO,2020-01-16T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,1,16,example.com,batch_csv
4948ffd2-bbef-4317-a1b4-1c469cbd69ba,Kenneth Ramirez,catherine24@example.net,MAURITIUS,2021-03-03T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,3,3,example.net,batch_csv
5642da3d-2b99-4952-8d7a-9e1cf36bc7d6,Mindy Wells,jennifer23@example.org,COSTA RICA,2021-03-14T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,3,14,example.org,batch_csv
435cb05e-cf2f-422c-8cd1-c6b1d0cdee8b,Rachel Martin,jroberts@example.net,SEYCHELLES,2024-04-28T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,4,28,example.net,batch_csv
5bcc6179-2f1a-44ba-a8eb-81ac4ba373fc,Andrew Castro,brian88@example.com,SWITZERLAND,2020-11-17T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,11,17,example.com,batch_csv
8f8df937-51c4-4a6d-8039-d8826de93046,Robert Rush,cherylharper@example.org,UNITED STATES VIRGIN ISLANDS,2025-02-22T00:00:00.000Z,2025-06-15T06:57:54.771Z,2025,2,22,example.org,batch_csv
3257cc71-a166-4e30-8e95-f76631163616,Beth Avery MD,uwoods@example.org,MONTENEGRO,2022-06-21T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,6,21,example.org,batch_csv
b012d627-14e5-41ec-ac66-a25f1914956f,Tina Nguyen,paulhowell@example.net,SLOVENIA,2022-12-23T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,12,23,example.net,batch_csv
32485cec-affa-4b8f-832b-18f8b49ab917,Adam Zimmerman,david30@example.net,ZIMBABWE,2020-03-07T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,3,7,example.net,batch_csv
374ee3b6-677d-45ac-bf25-90dc5652e8e2,James Silva,christopher35@example.net,ANGOLA,2021-12-05T00:00:00.000Z,2025-06-15T06:57:54.771Z,2021,12,5,example.net,batch_csv
1126efb3-0ce2-4b63-9b7b-a53d57c074c6,Keith Sanchez,jeanette08@example.net,NEW ZEALAND,2024-01-11T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,1,11,example.net,batch_csv
572a94c4-9850-4cbf-83d5-82e2237394d0,Christian Wells,geraldgarner@example.net,NETHERLANDS ANTILLES,2020-03-30T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,3,30,example.net,batch_csv
b360ab36-0acd-455d-8eb4-01955d7f4b76,Lance Watson,philip85@example.org,MONGOLIA,2024-07-07T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,7,7,example.org,batch_csv
b371f753-eb37-4c49-92c8-595ed65fd4f2,Luis Maynard,jonesterrence@example.net,PALAU,2024-06-10T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,6,10,example.net,batch_csv
a9df98b3-cdce-400b-afcf-c50aa8001a3a,Matthew Sampson,williamwright@example.net,ESTONIA,2024-11-27T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,11,27,example.net,batch_csv
f895d4b2-a85b-405e-ab15-89b51e86c00b,Jennifer Roach,elizabethrodriguez@example.net,GUINEA,2022-05-17T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,5,17,example.net,batch_csv
b72603c2-f1c3-4c6c-ad27-f04512331ef2,Eric Jones,markdaniel@example.net,FIJI,2023-10-23T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,10,23,example.net,batch_csv
a508a60a-2ea9-43e6-9b30-9b1ee9930917,Matthew Martinez,jowens@example.com,PAKISTAN,2023-12-14T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,12,14,example.com,batch_csv
8c0d329e-9759-41ea-8329-096cf9948a6e,Susan Fischer,collinslisa@example.com,FIJI,2025-01-31T00:00:00.000Z,2025-06-15T06:57:54.771Z,2025,1,31,example.com,batch_csv
eaa3ded2-13c6-4c94-bdd5-783dfdb579cb,Jennifer Wilson,christianlisa@example.org,OMAN,2024-03-16T00:00:00.000Z,2025-06-15T06:57:54.771Z,2024,3,16,example.org,batch_csv
a6f5ac02-c00e-4f0b-a70b-c239baaa23a8,Tyler Rodriguez,perkinssherri@example.net,DOMINICAN REPUBLIC,2020-08-19T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,8,19,example.net,batch_csv
bd3e9e51-dcca-4852-bc77-86198da2dd6b,Ronald Davis,elliottelizabeth@example.com,NORWAY,2020-07-31T00:00:00.000Z,2025-06-15T06:57:54.771Z,2020,7,31,example.com,batch_csv
4ee31755-e00f-47fb-b927-d931d8a604b7,Lauren Jones,stevensjeffrey@example.org,UNITED STATES VIRGIN ISLANDS,2022-02-19T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,2,19,example.org,batch_csv
4316c79a-7ddf-4cec-bad2-f13b42562d72,Paul Greer,colleenroberts@example.org,LITHUANIA,2023-08-16T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,8,16,example.org,batch_csv
e352751c-6c4f-4f02-a4cd-29b6e3cde3d1,Juan Smith,ryan42@example.org,PORTUGAL,2022-02-28T00:00:00.000Z,2025-06-15T06:57:54.771Z,2022,2,28,example.org,batch_csv
bc8867b2-7d54-455d-8bc2-8d5451ce16fe,Charles Jones,christopher67@example.net,CZECH REPUBLIC,2023-07-25T00:00:00.000Z,2025-06-15T06:57:54.771Z,2023,7,25,example.net,batch_csv
